Time,Energy_Generated
01/01/2004,346546
01/02/2004,314280
01/03/2004,308812
01/04/2004,290560
01/05/2004,327380
01/06/2004,345085
01/07/2004,377332
01/08/2004,368439
01/09/2004,335622
01/10/2004,312450
01/11/2004,302101
01/12/2004,341948
01/01/2005,343121
01/02/2005,298500
01/03/2005,317458
01/04/2005,289562
01/05/2005,315062
01/06/2005,363672
01/07/2005,402274
01/08/2005,404941
01/09/2005,350218
01/10/2005,316398
01/11/2005,306115
01/12/2005,348101
01/01/2006,328658
01/02/2006,307333
01/03/2006,318730
01/04/2006,297858
01/05/2006,330616
01/06/2006,364260
01/07/2006,410421
01/08/2006,407763
01/09/2006,332055
01/10/2006,321567
01/11/2006,309159
01/12/2006,336283
01/01/2007,353531
01/02/2007,323230
01/03/2007,320471
01/04/2007,303129
01/05/2007,330203
01/06/2007,362755
01/07/2007,393226
01/08/2007,421797
01/09/2007,355394
01/10/2007,332615
01/11/2007,314103
01/12/2007,346290
01/01/2008,362998
01/02/2008,325106
01/03/2008,324630
01/04/2008,305865
01/05/2008,325245
01/06/2008,373109
01/07/2008,402900
01/08/2008,388987
01/09/2008,338056
01/10/2008,318547
01/11/2008,310046
01/12/2008,343898
01/01/2009,354993
01/02/2009,300887
01/03/2009,310603
01/04/2009,289537
01/05/2009,311306
01/06/2009,347658
01/07/2009,372542
01/08/2009,381221
01/09/2009,327401
01/10/2009,307040
01/11/2009,296635
01/12/2009,350507
01/01/2010,360957
01/02/2010,319735
01/03/2010,312168
01/04/2010,287800
01/05/2010,327936
01/06/2010,375759
01/07/2010,409725
01/08/2010,408884
01/09/2010,346045
01/10/2010,307921
01/11/2010,306010
01/12/2010,362119
01/01/2011,362872
01/02/2011,313127
01/03/2011,318710
01/04/2011,302401
01/05/2011,323628
01/06/2011,367727
01/07/2011,418693
01/08/2011,406511
01/09/2011,337931
01/10/2011,308699
01/11/2011,304102
01/12/2011,335740
01/01/2012,339526
01/02/2012,309389
01/03/2012,309090
01/04/2012,295229
01/05/2012,336516
01/06/2012,360825
01/07/2012,414641
01/08/2012,395700
01/09/2012,334586
01/10/2012,311652
01/11/2012,305976
01/12/2012,334635
01/01/2013,348967
01/02/2013,309728
01/03/2013,325399
01/04/2013,299333
01/05/2013,322156
01/06/2013,356823
01/07/2013,394846
01/08/2013,385286
01/09/2013,340941
01/10/2013,314925
01/11/2013,314540
01/12/2013,353021
01/01/2014,377251
01/02/2014,324347
01/03/2014,331821
01/04/2014,297628
01/05/2014,324719
01/06/2014,357840
01/07/2014,385775
01/08/2014,384337
01/09/2014,339883
01/10/2014,314518
01/11/2014,317491
01/12/2014,337953
01/01/2015,360453
01/02/2015,334596
01/03/2015,324314
01/04/2015,294177
01/05/2015,322189
01/06/2015,362493
01/07/2015,400535
01/08/2015,392242
01/09/2015,350190
01/10/2015,312210
01/11/2015,300779
01/12/2015,324536
01/01/2016,352714
01/02/2016,313816
01/03/2016,304427
01/04/2016,292987
01/05/2016,316867
01/06/2016,367904
01/07/2016,412043
01/08/2016,409861
01/09/2016,351560
01/10/2016,312940
01/11/2016,297065
01/12/2016,345389
01/01/2017,344414
01/02/2017,291113
01/03/2017,319469
01/04/2017,295462
01/05/2017,323494
01/06/2017,358630
01/07/2017,404537
01/08/2017,384837
01/09/2017,336004
01/10/2017,318731
01/11/2017,308189
01/12/2017,350563
01/01/2018,373379
01/02/2018,307058
01/03/2018,321765
01/04/2018,301057
01/05/2018,339228
01/06/2018,372145
01/07/2018,411617
01/08/2018,408352
01/09/2018,356558
01/10/2018,325070
01/11/2018,322466
01/12/2018,342292
01/01/2019,359729
01/02/2019,315282
01/03/2019,326903
01/04/2019,296953
01/05/2019,330661
01/06/2019,353239
01/07/2019,410365
01/08/2019,401732
01/09/2019,360760
01/10/2019,320518
01/11/2019,315897
01/12/2019,338536
01/01/2020,342019
01/02/2020,319698
01/03/2020,309870
01/04/2020,279846
01/05/2020,304837
01/06/2020,351967
01/07/2020,409871
01/08/2020,398536
01/09/2020,333493
01/10/2020,313703
01/11/2020,301403
01/12/2020,344523
01/01/2021,349210
01/02/2021,323900
01/03/2021,311397
01/04/2021,293308
01/05/2021,320181
01/06/2021,373856
01/07/2021,405624
01/08/2021,412865
01/09/2021,347744
01/10/2021,320202
01/11/2021,314310
01/12/2021,337104
01/01/2022,373766
01/02/2022,324311
01/03/2022,324531
01/04/2022,303994
01/05/2022,342184
01/06/2022,379134
01/07/2022,422976
01/08/2022,412134
01/09/2022,351655
01/10/2022,313949
01/11/2022,321781
01/12/2022,360257
01/01/2023,347817
01/02/2023,309116
01/03/2023,329839
01/04/2023,299673
01/05/2023,327533
01/06/2023,356672
01/07/2023,425611
01/08/2023,423934
